"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Nu_Tilde","Grid_Velocity:0","Grid_Velocity:1","Grid_Velocity:2","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Eddy_Viscosity","Points:0","Points:1","Points:2"
1.1432,-2.4231,0.74512,144.05,2.3905e+05,4.4425e-05,0,0,0,91987,280.3,0.37549,-1.0748,1.716e-05,0,0,0,0,0,3.4301e-06,0.058095,-0.02172,-0.0087189
1.1435,-2.9315,0.91466,143.83,2.3911e+05,4.4447e-05,0,0,0,92022,280.34,0.37482,-1.0707,1.716e-05,0,0,0,0,0,3.4403e-06,0.061997,-0.021873,-0.008966
1.144,-3.4153,1.0844,143.49,2.3919e+05,4.447e-05,0,0,0,92073,280.38,0.37377,-1.0648,1.716e-05,0,0,0,0,0,3.4522e-06,0.06586,-0.022231,-0.009213
1.1446,-3.8756,1.226,143.03,2.3929e+05,4.4513e-05,0,0,0,92137,280.43,0.37239,-1.0574,1.716e-05,0,0,0,0,0,3.4715e-06,0.069698,-0.022927,-0.0094594
1.1453,-4.2925,1.336,142.42,2.3941e+05,4.4572e-05,0,0,0,92219,280.5,0.37056,-1.0481,1.716e-05,0,0,0,0,0,3.4974e-06,0.073504,-0.023557,-0.0097007
1.1461,-4.6307,1.4149,141.66,2.3955e+05,4.4625e-05,0,0,0,92316,280.59,0.36829,-1.0369,1.716e-05,0,0,0,0,0,3.5233e-06,0.077332,-0.024129,-0.0099387
1.1471,-4.8658,1.4577,140.79,2.3971e+05,4.4685e-05,0,0,0,92425,280.68,0.36568,-1.0243,1.716e-05,0,0,0,0,0,3.5526e-06,0.081195,-0.024644,-0.010174
1.1482,-4.9782,1.4614,139.84,2.3988e+05,4.4745e-05,0,0,0,92543,280.78,0.36283,-1.0108,1.716e-05,0,0,0,0,0,3.583e-06,0.085071,-0.025099,-0.01041
1.1492,-4.9638,1.4294,138.9,2.4005e+05,4.4792e-05,0,0,0,92659,280.88,0.35999,-0.99742,1.716e-05,0,0,0,0,0,3.6095e-06,0.08894,-0.025542,-0.01064
1.1501,-4.8474,1.3739,138.05,2.4021e+05,4.4817e-05,0,0,0,92765,280.98,0.35743,-0.98522,1.716e-05,0,0,0,0,0,3.6285e-06,0.092737,-0.026239,-0.010875
1.151,-4.6513,1.3034,137.25,2.4035e+05,4.4844e-05,0,0,0,92864,281.06,0.35501,-0.97375,1.716e-05,0,0,0,0,0,3.6473e-06,0.096538,-0.026905,-0.011107
1.1518,-4.3808,1.2143,136.46,2.4049e+05,4.4872e-05,0,0,0,92960,281.14,0.35266,-0.96281,1.716e-05,0,0,0,0,0,3.666e-06,0.10035,-0.027542,-0.011343
1.1526,-4.0324,1.1065,135.72,2.4062e+05,4.4895e-05,0,0,0,93049,281.22,0.35041,-0.95256,1.716e-05,0,0,0,0,0,3.6829e-06,0.10414,-0.028145,-0.011575
